recipe_name,recipe_category,servings,serving_size,serving_size_unit,ingredient_name,ingredient_amount,ingredient_unit
Frozen yogurt sandwich,Ice cream and frozen dairy desserts,1,100.0,g,"Frozen yogurts, flavors other than chocolate",75.0,g
Frozen yogurt sandwich,Ice cream and frozen dairy desserts,1,100.0,g,"Cookies, chocolate wafers",25.0,g
"Frozen yogurt bar, vanilla",Ice cream and frozen dairy desserts,1,100.0,g,"Frozen yogurts, flavors other than chocolate",100.0,g
"Frozen yogurt bar, chocolate",Ice cream and frozen dairy desserts,1,100.0,g,"Frozen yogurts, chocolate",100.0,g
"Frozen yogurt cone, chocolate",Ice cream and frozen dairy desserts,1,125.0,g,"Frozen yogurts, chocolate",120.0,g
"Frozen yogurt cone, chocolate",Ice cream and frozen dairy desserts,1,125.0,g,"Ice cream cones, cake or wafer-type",5.0,g
"Frozen yogurt cone, vanilla",Ice cream and frozen dairy desserts,1,125.0,g,"Frozen yogurts, flavors other than chocolate",120.0,g
"Frozen yogurt cone, vanilla",Ice cream and frozen dairy desserts,1,125.0,g,"Ice cream cones, cake or wafer-type",5.0,g
"Frozen yogurt cone, vanilla, waffle cone",Ice cream and frozen dairy desserts,1,255.0,g,"Frozen yogurts, flavors other than chocolate",240.0,g
"Frozen yogurt cone, vanilla, waffle cone",Ice cream and frozen dairy desserts,1,255.0,g,"Ice cream cones, sugar, rolled-type",15.0,g
"Frozen yogurt cone, chocolate, waffle cone",Ice cream and frozen dairy desserts,1,255.0,g,"Frozen yogurts, chocolate",240.0,g
"Frozen yogurt cone, chocolate, waffle cone",Ice cream and frozen dairy desserts,1,255.0,g,"Ice cream cones, sugar, rolled-type",15.0,g
"Yogurt, whole milk, baby food",Baby food: yogurt,1,100.011,g,"Yogurt, plain, whole milk",100.0,g
"Yogurt, whole milk, baby food",Baby food: yogurt,1,100.011,g,Vitamin D as ingredient,0.011,g
"Yogurt, whole milk, baby food, with fruit and multigrain cereal puree, NFS",Baby food: yogurt,1,100.0,g,"Babyfood, yogurt, whole milk, with fruit, multigrain cereal and added DHA fortified",100.0,g
"Yogurt, whole milk, baby food, with fruit and multigrain cereal puree, plus iron",Baby food: yogurt,1,100.0,g,"Babyfood, yogurt, whole milk, with fruit, multigrain cereal and added iron fortified",100.0,g
"Yogurt, whole milk, baby food, with fruit and multigrain cereal puree, plus DHA",Baby food: yogurt,1,100.0,g,"Babyfood, yogurt, whole milk, with fruit, multigrain cereal and added DHA fortified",100.0,g
"Chocolate milk, NFS","Flavored milk, nonfat",1,100.0,g,"Milk, chocolate, fat free, with added vitamin A and vitamin D",100.0,g
"Chocolate milk, ready to drink, whole","Flavored milk, whole",1,100.0,g,"Milk, chocolate, fluid, commercial, whole, with added vitamin A and vitamin D",100.0,g
"Chocolate milk, ready to drink, reduced fat","Flavored milk, reduced fat",1,100.0,g,"Milk, chocolate, fluid, commercial, reduced fat, with added vitamin A and vitamin D",100.0,g
"Chocolate milk, ready to drink, fat free","Flavored milk, nonfat",1,100.0,g,"Milk, chocolate, fat free, with added vitamin A and vitamin D",100.0,g
"Chocolate milk, ready to drink, low fat","Flavored milk, lowfat",1,100.0,g,"Milk, chocolate, lowfat, with added vitamin A and vitamin D",100.0,g
"Chocolate milk, ready to drink, reduced sugar, NS as to milk","Flavored milk, lowfat",1,100.0,g,"Milk, chocolate, lowfat, reduced sugar",100.0,g
"Chocolate milk, ready to drink, low fat (Nesquik)","Flavored milk, lowfat",1,100.0,g,"Milk, chocolate, lowfat, with added vitamin A and vitamin D",100.0,g
"Chocolate milk, ready to drink, fat free (Nesquik)","Flavored milk, nonfat",1,100.0,g,"Milk, chocolate, fat free, with added vitamin A and vitamin D",100.0,g
"Chocolate milk, ready to drink, low fat, no sugar added (Nesquik)","Flavored milk, lowfat",1,100.0,g,"Milk, chocolate, lowfat, with added vitamin A and vitamin D",100.0,g
"Hot chocolate / Cocoa, ready to drink","Flavored milk, reduced fat",1,300.0,g,"Milk, reduced fat, fluid, 2% milkfat, with added vitamin A and vitamin D",244.0,g
"Hot chocolate / Cocoa, ready to drink","Flavored milk, reduced fat",1,300.0,g,"Syrup, NESTLE, chocolate",56.0,g
"Hot chocolate / Cocoa, ready to drink, made with nonfat milk","Flavored milk, nonfat",1,300.0,g,"Milk, nonfat, fluid, with added vitamin A and vitamin D (fat free or skim)",244.0,g
"Hot chocolate / Cocoa, ready to drink, made with nonfat milk","Flavored milk, nonfat",1,300.0,g,"Syrup, NESTLE, chocolate",56.0,g
"Hot chocolate / Cocoa, ready to drink, made with non-dairy milk",Milk substitutes,1,300.0,g,"Soymilk, original and vanilla, with added calcium, vitamins A and D",122.0,g
"Hot chocolate / Cocoa, ready to drink, made with non-dairy milk",Milk substitutes,1,300.0,g,"Syrup, NESTLE, chocolate",56.0,g
"Hot chocolate / Cocoa, ready to drink, made with non-dairy milk",Milk substitutes,1,300.0,g,"Almond milk, sweetened",122.0,g
"Hot chocolate / Cocoa, ready to drink, with whipped cream","Flavored milk, reduced fat",1,314.938,g,"Milk, reduced fat, fluid, 2% milkfat, with added vitamin A and vitamin D",244.0,g
"Hot chocolate / Cocoa, ready to drink, with whipped cream","Flavored milk, reduced fat",1,314.938,g,"Syrup, NESTLE, chocolate",56.0,g
"Hot chocolate / Cocoa, ready to drink, with whipped cream","Flavored milk, reduced fat",1,314.938,g,"Cream, fluid, heavy whipping",14.938,g
"Hot chocolate / Cocoa, ready to drink, made with nonfat milk and whipped cream","Flavored milk, nonfat",1,314.938,g,"Milk, nonfat, fluid, with added vitamin A and vitamin D (fat free or skim)",244.0,g
"Hot chocolate / Cocoa, ready to drink, made with nonfat milk and whipped cream","Flavored milk, nonfat",1,314.938,g,"Syrup, NESTLE, chocolate",56.0,g
"Hot chocolate / Cocoa, ready to drink, made with nonfat milk and whipped cream","Flavored milk, nonfat",1,314.938,g,"Cream, fluid, heavy whipping",14.938,g
"Hot chocolate / Cocoa, ready to drink, made with non-dairy milk and whipped cream",Milk substitutes,1,314.938,g,"Soymilk, original and vanilla, with added calcium, vitamins A and D",122.0,g
"Hot chocolate / Cocoa, ready to drink, made with non-dairy milk and whipped cream",Milk substitutes,1,314.938,g,"Syrup, NESTLE, chocolate",56.0,g
"Hot chocolate / Cocoa, ready to drink, made with non-dairy milk and whipped cream",Milk substitutes,1,314.938,g,"Cream, fluid, heavy whipping",14.938,g
"Hot chocolate / Cocoa, ready to drink, made with non-dairy milk and whipped cream",Milk substitutes,1,314.938,g,"Almond milk, sweetened",122.0,g
"Chocolate milk, made from dry mix, NS as to type of milk","Flavored milk, reduced fat",1,260.0,g,"Milk, NFS",244.0,g
"Chocolate milk, made from dry mix, NS as to type of milk","Flavored milk, reduced fat",1,260.0,g,"Beverages, chocolate-flavor beverage mix for milk, powder, with added nutrients",16.0,g
"Chocolate milk, made from dry mix with whole milk","Flavored milk, whole",1,260.0,g,"Milk, whole, 3.25% milkfat, with added vitamin D",244.0,g
"Chocolate milk, made from dry mix with whole milk","Flavored milk, whole",1,260.0,g,"Beverages, chocolate-flavor beverage mix for milk, powder, with added nutrients",16.0,g
"Chocolate milk, made from dry mix with reduced fat milk","Flavored milk, reduced fat",1,260.0,g,"Milk, reduced fat, fluid, 2% milkfat, with added vitamin A and vitamin D",244.0,g
"Chocolate milk, made from dry mix with reduced fat milk","Flavored milk, reduced fat",1,260.0,g,"Beverages, chocolate-flavor beverage mix for milk, powder, with added nutrients",16.0,g
"Chocolate milk, made from dry mix with low fat milk","Flavored milk, lowfat",1,260.0,g,"Milk, lowfat, fluid, 1% milkfat, with added vitamin A and vitamin D",244.0,g
"Chocolate milk, made from dry mix with low fat milk","Flavored milk, lowfat",1,260.0,g,"Beverages, chocolate-flavor beverage mix for milk, powder, with added nutrients",16.0,g
"Chocolate milk, made from dry mix with fat free milk","Flavored milk, nonfat",1,260.0,g,"Milk, nonfat, fluid, with added vitamin A and vitamin D (fat free or skim)",244.0,g
"Chocolate milk, made from dry mix with fat free milk","Flavored milk, nonfat",1,260.0,g,"Beverages, chocolate-flavor beverage mix for milk, powder, with added nutrients",16.0,g
"Chocolate milk, made from dry mix with non-dairy milk",Milk substitutes,1,260.0,g,"Soymilk, original and vanilla, with added calcium, vitamins A and D",122.0,g
"Chocolate milk, made from dry mix with non-dairy milk",Milk substitutes,1,260.0,g,"Beverages, chocolate-flavor beverage mix for milk, powder, with added nutrients",16.0,g
